campaign_type,Platform,content_type,total_spend,Impressions,Engagement
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,7036.56,1086715,56791
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,157.53,138910,11509
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,5378.84,792709,37980
MM,TIKTOK,PAID - PARTNERSHIP,14390.58,383384,34152
MM,INSTAGRAM,PAID - PARTNERSHIP,4009.41,986999,38526
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,40293.51,572714,18088
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,1442.56,357848,15606
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,6530.59,552428,31588
FLOOD THE FEED,TIKTOK,PAID - BRAND,74117.4,2577016,140995
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,3155.82,449064,31093
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,642.79,263746,12278
MM,META,OWNED - BOOSTED ONLY,5425.33,455598,15607
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,31602.14,192911,6564
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,4174.2,1111786,166767
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,1497.68,1355724,80409
MM,INSTAGRAM,PAID - BRAND,2300.91,503190,23499
BAU,INSTAGRAM,PAID - PARTNERSHIP,280.17,499082,36242
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1166.38,580134,48442
MM,META,PAID - BRAND,4407.27,274819,6470
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,2868.86,537934,45591
MM,META,INFLUENCER - CFG - BOOSTED ONLY,1709.71,772373,18928
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,16699.74,159350,8232
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,555.85,353887,45117
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1478.0,285108,14843
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,6097.06,433858,15943
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,13285.12,503472,20831
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,96.73,856887,92891
MM,TIKTOK,PAID - BRAND,1766.97,414625,18071
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,67179.4,290683,17461
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,415.83,166484,10351
BAU,TIKTOK,PAID - BRAND,2220.47,412940,19601
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,307.24,274383,17228
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,2641.03,277862,10985
FLOOD THE FEED,TIKTOK,PAID - BRAND,11783.92,1036107,67092
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,8.2,497790,24059
MM,INSTAGRAM,PAID - PARTNERSHIP,15713.48,162501,9374
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,613.93,285080,20046
MM,INSTAGRAM,PAID - BRAND,2239.43,336925,16796
MM,TIKTOK,OWNED - BOOSTED ONLY,6269.94,476761,35107
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,109658.18,638484,61037
BAU,META,PAID - PARTNERSHIP,14414.38,610805,31395
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,7770.54,332525,35824
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,534.05,690561,36347
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,2707.53,242444,14096
MM,META,PAID - PARTNERSHIP,5613.23,950817,39218
BAU,TIKTOK,OWNED - BOOSTED ONLY,2066.82,612732,57781
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,472.76,346529,30791
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1907.7,535670,27038
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,168.27,128681,6515
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,575.7,243711,25951
MM,INSTAGRAM,PAID - BRAND,836.78,154993,3119
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,78.34,74025,6105
MM,META,OWNED - BOOSTED ONLY,13557.91,213556,16621
MM,INSTAGRAM,PAID - BRAND,12999.27,265054,4808
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,1466.95,125710,3867
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,13819.77,3490576,304560
FLOOD THE FEED,TIKTOK,PAID - BRAND,6945.6,1172796,72719
MM,INSTAGRAM,PAID - BRAND,9305.8,375350,14871
BAU,META,OWNED - BOOSTED ONLY,2713.81,158284,5761
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,235.23,617404,26435
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,569.42,751075,68422
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,11819.13,174961,6240
MM,TIKTOK,OWNED - BOOSTED ONLY,12224.0,249372,15385
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,257.25,98185,5107
MM,META,INFLUENCER - CFG - BOOSTED ONLY,403.01,313721,19889
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,273.28,550618,39411
BAU,META,PAID - PARTNERSHIP,6827.64,347431,18832
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,168.21,185362,16152
BAU,TIKTOK,PAID - PARTNERSHIP,6734.15,437617,26578
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,73.55,87669,3867
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,41124.74,193075,8280
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,72.36,278778,12860
MM,TIKTOK,PAID - PARTNERSHIP,19372.56,357727,23337
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,851.48,1222381,45197
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,4744.45,1047673,113870
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,123.31,103747,7064
BAU,TIKTOK,OWNED - BOOSTED ONLY,2391.07,617201,79063
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,1291.76,168495,8860
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,142851.94,464233,50100
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,36921.57,678421,72422
MM,META,PAID - BRAND,34289.52,335183,9081
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,82.96,134064,5560
BAU,TIKTOK,OWNED - BOOSTED ONLY,475.37,324476,16998
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,4233.05,180026,7873
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,10407.62,240922,15525
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,18797.96,554930,83239
MM,META,PAID - PARTNERSHIP,5588.85,236483,8372
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,6887.69,916015,96903
FLOOD THE FEED,TIKTOK,PAID - BRAND,749.19,811594,25491
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,132.79,206287,13896
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,19037.0,1177776,127253
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,49.78,105387,10190
FLOOD THE FEED,META,PAID - BRAND,3687.03,2286036,74083
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,3976.17,505613,28419
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,2371.54,705566,84611
MM,META,PAID - BRAND,916.92,158774,2635
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,6386.79,240958,4850
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,5339.4,2143404,192555
BAU,TIKTOK,PAID - BRAND,10485.37,488415,22758
BAU,TIKTOK,PAID - PARTNERSHIP,11832.61,366713,23840
MM,TIKTOK,OWNED - BOOSTED ONLY,4829.73,288083,25604
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,124.59,89135,5276
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,774.56,796810,71516
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,15196.85,599085,34249
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,10164.43,1099820,51486
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,3027.61,273313,15249
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,1885.9,711736,64599
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,3245.34,551992,29183
MM,TIKTOK,PAID - PARTNERSHIP,6184.2,527915,17511
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,728.51,170525,6263
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,270.41,926188,112142
BAU,META,OWNED - BOOSTED ONLY,2164.26,601714,24914
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,1797.89,495838,27169
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1665.26,344142,26001
MM,TIKTOK,PAID - PARTNERSHIP,2994.61,637027,54630
MM,META,OWNED - BOOSTED ONLY,12386.11,131847,2426
BAU,META,OWNED - BOOSTED ONLY,12106.28,117809,4361
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,46.06,43013,3400
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,9308.96,549684,15159
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,1313.74,545956,13872
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,178.28,198704,19859
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,3566.61,253242,13924
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,2350.08,349947,13965
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,95.27,113667,9065
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,38853.86,231193,12822
FLOOD THE FEED,META,PAID - PARTNERSHIP,27085.55,514126,15142
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,14183.82,359790,44801
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,8241.1,209108,28759
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,1201.62,894028,52812
MM,META,OWNED - BOOSTED ONLY,21007.02,840372,33599
FLOOD THE FEED,META,PAID - PARTNERSHIP,962.83,652800,19177
BAU,INSTAGRAM,PAID - BRAND,61088.62,312316,10748
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,3932.46,253010,17013
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,18044.94,428731,30064
FLOOD THE FEED,META,PAID - PARTNERSHIP,6667.36,1112414,49686
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,13280.76,286639,8981
MM,META,OWNED - BOOSTED ONLY,28339.18,275028,10101
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,21857.32,1128416,77627
MM,META,PAID - BRAND,76688.23,296272,11271
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,3247.11,393303,33594
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,6385.3,516187,37598
MM,INSTAGRAM,PAID - BRAND,1724.29,176361,4950
BAU,TIKTOK,PAID - PARTNERSHIP,156.1,1195868,51534
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,2139.06,166587,9645
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,10133.54,1493790,112866
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,125.57,159619,9955
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,33223.69,1105747,82709
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,8057.2,1591899,96810
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,40.58,233214,16112
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,87.48,187461,18264
FLOOD THE FEED,META,PAID - BRAND,3077.61,678104,32543
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,4277.52,1551903,132396
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,212.48,859512,63599
BAU,META,PAID - BRAND,20632.63,513294,14181
MM,META,OWNED - BOOSTED ONLY,475.11,240367,7374
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,1247.9,567340,53930
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,5388.42,100480,6062
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,17942.85,423272,36593
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,150.61,127540,10410
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,2486.37,1070658,73835
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,1546.6,298395,14088
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,39753.21,177741,10039
MM,INSTAGRAM,PAID - PARTNERSHIP,12074.92,127916,3620
FLOOD THE FEED,META,PAID - PARTNERSHIP,302.33,991895,30259
MM,META,OWNED - BOOSTED ONLY,138316.38,254869,10667
MM,META,PAID - BRAND,30126.63,1394132,74522
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,496.89,269312,21618
MM,INSTAGRAM,PAID - BRAND,9581.04,228106,6852
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,2965.91,631901,52950
MM,META,PAID - BRAND,8472.5,699961,20700
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,27345.17,149318,10144
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,1017.16,138950,5204
MM,META,INFLUENCER - CFG - BOOSTED ONLY,2483.39,1228470,85501
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,641.44,2106300,174996
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,7137.7,683290,29513
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,1705.63,622727,84177
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,694.54,161355,9686
MM,META,INFLUENCER - CFG - BOOSTED ONLY,3682.43,174874,11098
FLOOD THE FEED,META,PAID - PARTNERSHIP,2388.92,392550,8758
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,6440.75,251470,9559
BAU,META,PAID - BRAND,40.11,241545,11838
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,781.53,165504,11604
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,6021.92,331719,34862
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,9406.16,1287927,119981
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,121.06,79384,4162
FLOOD THE FEED,META,PAID - BRAND,2122.36,689317,26112
MM,TIKTOK,PAID - PARTNERSHIP,893.58,1127715,62377
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,2886.93,286957,5324
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,11226.9,1742112,153706
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,3296.07,365252,16456
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,1348.06,649605,21402
FLOOD THE FEED,TIKTOK,PAID - BRAND,4630.11,356631,19689
MM,META,OWNED - BOOSTED ONLY,2825.77,113527,6375
FLOOD THE FEED,TIKTOK,PAID - BRAND,990.4,457645,23329
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,16696.53,371989,25009
BAU,META,PAID - PARTNERSHIP,5671.59,456294,17319
BAU,INSTAGRAM,PAID - BRAND,1718.93,147972,5830
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,50.8,27634,1587
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,366.48,52055,2583
MM,INSTAGRAM,OWNED - BOOSTED ONLY,7545.69,863102,45856
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,1000.24,355819,25798
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,77.79,212780,15463
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,713.37,466430,68344
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,4839.75,528197,26131
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,285.78,899907,67517
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,2273.96,4690707,492530
MM,TIKTOK,OWNED - BOOSTED ONLY,965.18,306880,28585
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,3533.01,238279,28254
MM,META,OWNED - BOOSTED ONLY,1094.21,876905,48013
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,1523.88,1532092,93815
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,10712.44,664114,46367
BAU,TIKTOK,PAID - BRAND,1135.33,772498,33536
BAU,META,OWNED - BOOSTED ONLY,1627.06,136684,6146
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,65761.34,365125,19860
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,609.25,204804,19704
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,51.3,309490,14746
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,13076.8,700700,105105
MM,META,PAID - PARTNERSHIP,7111.37,444065,16946
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1755.05,381685,25150
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,175.64,378625,14109
MM,TIKTOK,PAID - BRAND,16478.6,1256018,58190
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,123.62,350508,39723
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,2880.44,246649,8394
BAU,META,PAID - PARTNERSHIP,10518.91,430434,14423
MM,INSTAGRAM,PAID - BRAND,1719.46,230640,6715
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,33626.29,970209,134189
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,679.47,708047,52252
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,5462.14,487411,26759
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,205.28,56945,5464
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,1484.86,457381,23901
BAU,META,PAID - PARTNERSHIP,2021.6,406687,12696
MM,INSTAGRAM,PAID - PARTNERSHIP,11014.26,133020,6631
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,54633.01,366622,28720
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,6443.72,694022,41634
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,6209.16,885038,118526
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,5512.25,401326,18856
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,992.16,261825,9850
MM,META,OWNED - BOOSTED ONLY,15687.52,302269,6237
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,10626.78,539966,50447
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,4904.8,643447,71645
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,96.02,473557,36798
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,9029.17,636155,27676
FLOOD THE FEED,META,PAID - BRAND,15198.82,441032,16186
BAU,INSTAGRAM,PAID - PARTNERSHIP,5171.57,722387,32426
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,1765.21,606405,36543
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,9896.27,253205,12182
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,600.82,1138971,170845
BAU,INSTAGRAM,PAID - PARTNERSHIP,2548.67,209208,10255
BAU,TIKTOK,PAID - PARTNERSHIP,17031.46,254480,16400
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,393.55,291400,20728
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,13380.71,178369,19673
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,1117.54,184957,20698
FLOOD THE FEED,TIKTOK,PAID - BRAND,23399.92,799872,51098
BAU,META,PAID - PARTNERSHIP,33470.42,719611,42370
BAU,META,PAID - PARTNERSHIP,9074.21,322158,7172
MM,TIKTOK,PAID - BRAND,2060.92,310706,28604
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,2289.69,425017,27080
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,3182.44,1618200,128878
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,3991.46,545892,33064
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,80.5,240602,10660
MM,INSTAGRAM,PAID - BRAND,1055.08,122328,4581
FLOOD THE FEED,TIKTOK,PAID - BRAND,311.97,1102495,54244
BAU,TIKTOK,OWNED - BOOSTED ONLY,334.85,258995,13640
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,204.22,387203,11118
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,3542.33,577231,46597
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,4104.32,232943,11176
BAU,TIKTOK,OWNED - BOOSTED ONLY,903.22,627684,41692
MM,META,INFLUENCER - CFG - BOOSTED ONLY,51626.28,550875,25655
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,307.79,96169,4304
BAU,TIKTOK,OWNED - BOOSTED ONLY,4450.14,484450,19896
BAU,META,OWNED - BOOSTED ONLY,11413.56,199656,8262
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,744.13,255043,15812
MM,META,PAID - PARTNERSHIP,783.06,89813,2605
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,2171.78,217721,16075
BAU,TIKTOK,PAID - BRAND,3345.19,384492,15185
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,3839.06,594068,16447
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,24745.49,625383,48301
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,8624.15,678324,81257
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,4585.65,235803,20184
BAU,META,PAID - PARTNERSHIP,536.15,284623,10144
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,120.53,129609,3714
FLOOD THE FEED,META,PAID - BRAND,1308.86,570271,17230
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,638.1,887624,27106
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,391.29,487677,33745
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,875.95,192663,21322
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,403.66,144470,14742
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,2048.64,857636,55637
MM,META,PAID - BRAND,2437.03,603838,22064
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,216.42,1064470,58179
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,416.77,496404,30058
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,98.41,85500,4040
MM,META,OWNED - BOOSTED ONLY,1877.97,467889,27450
BAU,TIKTOK,PAID - BRAND,24185.91,344926,15549
MM,TIKTOK,PAID - BRAND,238.61,282914,18138
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,746.64,59179,3329
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,2865.19,425062,17603
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,226.8,275427,23035
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,6764.38,208999,9681
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,2529.02,564351,38788
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,2021.93,1612164,125902
BAU,INSTAGRAM,PAID - BRAND,1913.67,371388,12902
BAU,TIKTOK,PAID - PARTNERSHIP,17321.21,554573,32220
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,232.23,45333,2172
BAU,INSTAGRAM,PAID - BRAND,497.26,248024,16015
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,84706.72,770325,35450
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,24.51,231081,15325
BAU,INSTAGRAM,PAID - PARTNERSHIP,1174.65,201128,8379
MM,TIKTOK,OWNED - BOOSTED ONLY,153.09,560421,26809
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,4267.87,1978674,135154
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,66.99,182157,18248
MM,INSTAGRAM,PAID - BRAND,56247.74,164530,7333
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,93.19,181140,27171
MM,INSTAGRAM,PAID - PARTNERSHIP,312.79,289343,15980
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,15194.36,963413,95102
BAU,INSTAGRAM,PAID - PARTNERSHIP,1656.61,266177,11526
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,7573.1,503072,30419
MM,META,PAID - PARTNERSHIP,2852.94,686347,24330
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,208.61,887602,48701
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,77.19,133502,16937
BAU,INSTAGRAM,PAID - PARTNERSHIP,121.08,1288255,84885
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,4166.61,314819,24694
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,6513.83,714149,75931
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,3409.67,429273,29536
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,2225.28,518820,44635
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,7.84,168138,11978
BAU,TIKTOK,PAID - PARTNERSHIP,2898.47,322978,27150
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,12348.5,392952,42623
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,694.03,283644,22562
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,10868.13,785907,52801
MM,META,PAID - BRAND,8845.32,538934,12804
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,5698.08,801048,72321
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,17736.32,444255,35543
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,14842.13,1116371,82258
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,2334.14,252709,15849
